id,first_name,last_name,race,gender,date of birth,number of prior felony convictions,number of prior misdemeanor convictions,type of legal representation,date of alleged crime,married,annual income,education level,immigration status,number of children under 18 living at home,mitigating factors - health,"type of conviction (trial, jury, etc.)",plea: guilty? ,possible charge 1: offense category,possible charge 1: attempted crime,possible charge 1: primary? vs. accomplice,"possible sentence type 1: (jail, probation, etc.)",possible total minimum incarceration term 1,possible total maximum incarceration term 1,possible probation term in months 1,possible amount of fine in dollars 1,possible amount of community service in hours 1,possible alternative sentence 1,possible suspended sentence 1,possible charge 2: offense category,possible charge 2: attempted crime,possible charge 2: primary? vs. accomplice,"possible sentence type 2: (jail, probation, etc.)",possible total minimum incarceration term 2,possible total maximum incarceration term 2,possible probation term in months 2,possible amount of fine in dollars 2,possible amount of community service in hours 2,possible alternative sentence 2,possible suspended sentence 2
11,Burke,Cordel,Blackfeet,Male,8/10/1943,2,1,2,11/18/2019,true,23516,2,4,3,Chronic nasopharyngitis,3,true,2,1,false,7,81,104,47,87106,84,non lectus aliquam sit amet diam in magna bibendum imperdiet nullam orci pede venenatis non sodales sed,true,4,3,true,5,113,112,88,89859,81,ultrices posuere cubilia curae duis faucibus accumsan odio curabitur convallis duis consequat dui nec nisi volutpat eleifend,true
12,Emlynne,Kleanthous,Mexican,Female,9/7/1941,3,2,1,12/14/2019,true,162121,5,2,4,"Corros unsp deg mult fingers (nail), not including thumb",2,false,8,3,false,3,112,99,79,76553,70,vel augue vestibulum rutrum rutrum neque aenean auctor gravida sem praesent id massa id nisl venenatis lacinia aenean sit amet,false,9,1,true,1,3,80,52,37787,1,nulla sed accumsan felis ut at dolor quis odio consequat varius integer ac leo pellentesque ultrices mattis odio,true
13,Trescha,Tisor,Chickasaw,Female,6/30/1970,3,1,3,2/8/2019,false,389336,5,4,3,"Underdosing of primarily systemic and hematolog agents, subs",2,true,20,4,true,1,22,6,101,5578,9,aliquet pulvinar sed nisl nunc rhoncus dui vel sem sed sagittis nam congue risus,true,14,2,false,1,34,81,108,61838,95,magna bibendum imperdiet nullam orci pede venenatis non sodales sed tincidunt eu felis fusce posuere felis sed lacus morbi,true
14,Dionysus,Amburgy,Delaware,Male,11/30/1941,2,2,2,5/12/2020,false,232234,5,4,7,"Corrosion of first degree of unsp toe(s) (nail), init encntr",5,true,1,1,false,2,94,44,6,31332,50,sollicitudin vitae consectetuer eget rutrum at lorem integer tincidunt ante vel ipsum praesent blandit lacinia erat vestibulum,false,4,4,true,5,11,74,50,55222,43,hendrerit at vulputate vitae nisl aenean lectus pellentesque eget nunc donec quis orci eget orci vehicula condimentum curabitur in,false
15,Spence,Rickertsen,Sioux,Male,12/24/1975,3,1,1,7/20/2020,true,57443,2,4,8,"Poisoning by antithyroid drugs, undetermined, subs encntr",4,false,27,4,false,4,117,63,92,91014,70,aliquam lacus morbi quis tortor id nulla ultrices aliquet maecenas leo odio condimentum id,false,24,3,false,2,15,112,18,11706,62,nibh in quis justo maecenas rhoncus aliquam lacus morbi quis tortor id nulla ultrices aliquet maecenas,false
16,Ester,Herkess,Tongan,Female,9/24/1950,1,3,2,2/26/2019,false,22203,4,3,9,"Pasngr in 3-whl mv injured in clsn w hv veh nontraf, sequela",3,true,4,1,false,3,62,18,93,87246,60,magna ac consequat metus sapien ut nunc vestibulum ante ipsum,true,29,1,false,5,15,47,109,86213,16,nonummy maecenas tincidunt lacus at velit vivamus vel nulla eget eros elementum,false
17,Joyce,Gregorace,Choctaw,Female,8/21/1992,1,3,1,1/6/2020,false,378069,4,2,4,"Pasngr in 3-whl mv inj in clsn w statnry obj in traf, sqla",3,false,29,2,false,4,68,13,94,52349,25,curabitur convallis duis consequat dui nec nisi volutpat eleifend donec,true,3,3,false,6,2,80,111,59456,55,nunc nisl duis bibendum felis sed interdum venenatis turpis enim blandit mi,true
18,Evangelina,Dearell,Cherokee,Female,8/30/1967,2,1,1,5/1/2018,true,31697,2,3,9,"Unsp inj blood vessels at lower leg level, unsp leg, sequela",3,false,9,3,false,6,58,69,11,21618,77,ut suscipit a feugiat et eros vestibulum ac est lacinia,false,18,2,true,7,114,43,98,19071,47,justo maecenas rhoncus aliquam lacus morbi quis tortor id nulla ultrices aliquet maecenas leo,false
19,Modesty,Debold,Comanche,Female,8/12/1964,3,2,3,12/22/2018,false,366481,5,4,2,Patient's noncompliance with dietary regimen,4,true,31,2,false,3,25,35,29,11265,99,dui vel sem sed sagittis nam congue risus semper porta volutpat quam pede lobortis ligula sit amet eleifend pede libero,true,24,4,true,6,64,65,40,53980,49,luctus et ultrices posuere cubilia curae duis faucibus accumsan odio curabitur convallis duis consequat dui nec nisi volutpat eleifend donec,true
20,Guglielma,Claussen,Guatemalan,Female,6/14/1976,1,1,3,3/19/2018,true,79302,2,3,0,Traum hemor right cerebrum w/o loss of consciousness,1,false,28,1,false,2,106,104,91,47447,27,lobortis convallis tortor risus dapibus augue vel accumsan tellus nisi eu orci mauris lacinia sapien,true,14,2,true,3,119,91,16,97032,66,volutpat convallis morbi odio odio elementum eu interdum eu tincidunt in leo maecenas pulvinar lobortis est phasellus sit,false
21,Tansy,Vasilkov,Uruguayan,Female,3/13/1965,1,1,1,5/7/2019,false,309125,2,4,6,"Underdosing of hemostatic drugs, subsequent encounter",3,false,20,3,false,5,31,68,2,5710,66,lectus suspendisse potenti in eleifend quam a odio in hac habitasse platea dictumst maecenas,true,4,4,true,7,47,52,51,14184,81,odio elementum eu interdum eu tincidunt in leo maecenas pulvinar lobortis est phasellus sit amet erat nulla tempus vivamus,false
22,Tristam,Miliffe,Tongan,Male,6/13/1990,1,3,2,4/4/2018,false,141983,2,2,9,"Nondisp fx of trapezoid, unsp wrist, init for clos fx",3,true,15,2,true,2,76,5,43,44967,57,integer aliquet massa id lobortis convallis tortor risus dapibus augue vel accumsan tellus nisi eu orci,false,12,3,false,6,95,3,9,60444,13,mattis nibh ligula nec sem duis aliquam convallis nunc proin,false
23,Alberto,Sisson,American Indian and Alaska Native (AIAN),Male,1/26/1973,1,1,2,11/2/2019,true,76154,3,4,4,"Mantle cell lymphoma, nodes of ing region and lower limb",2,true,3,4,false,7,112,70,91,7823,10,commodo vulputate justo in blandit ultrices enim lorem ipsum dolor sit amet consectetuer adipiscing elit proin interdum mauris non,true,16,4,true,5,80,61,3,66290,79,phasellus id sapien in sapien iaculis congue vivamus metus arcu adipiscing molestie hendrerit at vulputate vitae nisl aenean lectus,true
24,Donica,Bilsland,South American,Female,4/8/1988,1,3,2,3/25/2019,false,404332,4,2,2,"Displ commnt fx shaft of r tibia, init for opn fx type I/2",3,true,2,1,true,4,89,87,6,86598,51,sem duis aliquam convallis nunc proin at turpis a pede posuere nonummy integer non velit donec diam,true,9,4,true,8,94,50,53,74008,45,nulla ultrices aliquet maecenas leo odio condimentum id luctus nec molestie sed justo pellentesque viverra,true
25,Siouxie,Grollmann,Cuban,Female,1/6/1968,3,2,3,6/24/2020,false,334481,1,4,7,"Oth comp specific to multiple gest, third trimester, unsp",1,true,11,2,false,1,50,81,49,44579,23,lobortis est phasellus sit amet erat nulla tempus vivamus in felis eu sapien cursus vestibulum,true,10,3,false,7,15,12,24,67179,1,nulla suspendisse potenti cras in purus eu magna vulputate luctus cum sociis natoque penatibus et magnis dis parturient,false
26,Laurella,Pottberry,Colville,Female,3/12/1967,1,2,2,4/12/2020,false,294983,2,4,1,Oth parlyt synd fol oth cerebvasc disease aff right dom side,5,false,9,3,true,3,73,60,43,97388,3,hac habitasse platea dictumst aliquam augue quam sollicitudin vitae consectetuer eget rutrum,true,15,1,true,7,64,117,96,94830,56,lectus in est risus auctor sed tristique in tempus sit amet sem fusce consequat nulla nisl,false
27,Wynn,Blessed,Eskimo,Male,8/5/1990,1,1,1,2/16/2019,true,73183,4,2,1,"Central cord syndrome at C5, sequela",4,true,22,1,false,8,64,13,13,74493,21,sed vel enim sit amet nunc viverra dapibus nulla suscipit ligula in lacus,true,15,4,true,8,48,17,84,46183,5,nulla suscipit ligula in lacus curabitur at ipsum ac tellus semper interdum mauris ullamcorper purus sit amet,true
28,Larissa,Sands,Cheyenne,Female,6/30/1993,3,1,2,1/14/2020,false,157021,2,4,5,"Displaced comminuted fracture of shaft of ulna, unsp arm",2,true,28,3,true,7,65,45,83,84641,33,pharetra magna vestibulum aliquet ultrices erat tortor sollicitudin mi sit amet lobortis,true,13,2,false,1,69,58,22,52833,41,at lorem integer tincidunt ante vel ipsum praesent blandit lacinia erat vestibulum sed magna at nunc commodo placerat,false
29,Abeu,McUre,Cambodian,Male,1/5/1949,2,1,1,7/13/2020,false,456871,3,3,5,"Driver of special agricultural vehicle injured nontraf, init",5,true,9,4,false,6,11,27,44,19153,34,sit amet nunc viverra dapibus nulla suscipit ligula in lacus curabitur at ipsum ac tellus semper interdum mauris ullamcorper purus,true,17,2,true,3,81,53,18,17351,89,ipsum praesent blandit lacinia erat vestibulum sed magna at nunc commodo placerat praesent blandit nam nulla integer pede,true
30,Yetty,Rizzardini,Choctaw,Female,1/6/1942,2,2,1,12/14/2019,true,61883,4,3,8,"Inferior subluxation of right humerus, sequela",5,true,25,1,true,8,101,118,120,37828,64,proin risus praesent lectus vestibulum quam sapien varius ut blandit non interdum in ante vestibulum ante ipsum primis in faucibus,true,28,1,false,8,47,79,118,48134,95,aliquam quis turpis eget elit sodales scelerisque mauris sit amet eros,true
31,Adler,Casham,Apache,Male,8/17/1981,2,3,2,12/24/2019,false,472299,2,3,10,"Laceration of posterior tibial artery, left leg, init encntr",4,true,6,1,true,3,103,70,51,52981,60,dis parturient montes nascetur ridiculus mus vivamus vestibulum sagittis sapien,false,19,1,false,2,12,83,38,18882,46,diam in magna bibendum imperdiet nullam orci pede venenatis non sodales sed tincidunt eu felis fusce posuere felis,true
32,Field,Rojas,Chinese,Male,10/28/1942,2,2,3,5/28/2019,false,226582,2,4,10,Fracture of metatarsal bone(s),5,true,11,4,false,4,114,31,22,50435,4,habitasse platea dictumst etiam faucibus cursus urna ut tellus nulla ut erat id mauris vulputate elementum nullam varius nulla facilisi,false,19,4,true,4,120,39,115,90629,94,nulla integer pede justo lacinia eget tincidunt eget tempus vel pede morbi porttitor,true
33,Nola,Jacobowitz,Venezuelan,Female,5/2/1991,1,1,1,8/27/2019,false,205295,4,2,5,Fall into natural body of water striking side causing drown,5,true,8,3,true,1,107,120,119,91433,98,nulla pede ullamcorper augue a suscipit nulla elit ac nulla sed,false,1,4,false,1,104,16,81,70588,80,id turpis integer aliquet massa id lobortis convallis tortor risus dapibus augue vel accumsan tellus,false
34,Trixi,Wilkie,Yaqui,Female,12/24/1943,3,1,2,1/1/2018,false,127342,1,4,2,"Advrs effect of unsp nonopi analgs/antipyr/antirheu, sequela",5,true,22,4,true,1,91,19,88,99619,63,est quam pharetra magna ac consequat metus sapien ut nunc vestibulum ante ipsum primis,false,8,1,true,2,51,43,28,10235,89,imperdiet et commodo vulputate justo in blandit ultrices enim lorem ipsum dolor sit amet,true
35,Alaine,Dadge,Eskimo,Female,1/14/1943,2,1,2,7/14/2018,false,407985,3,3,8,"Unspecified subluxation of unspecified patella, init encntr",4,false,27,3,true,3,96,28,115,71907,99,nulla pede ullamcorper augue a suscipit nulla elit ac nulla sed vel enim sit amet nunc viverra,false,14,1,true,7,79,90,36,30059,29,pede malesuada in imperdiet et commodo vulputate justo in blandit,false
36,Frederic,Troctor,Alaska Native,Male,6/15/1949,1,1,1,3/17/2019,true,436431,4,2,9,"Placentitis, third trimester, fetus 1",3,false,20,1,false,6,1,90,116,6266,23,pellentesque eget nunc donec quis orci eget orci vehicula condimentum curabitur in libero ut massa volutpat,true,14,2,false,1,49,67,68,85980,16,erat vestibulum sed magna at nunc commodo placerat praesent blandit nam nulla integer pede justo lacinia eget tincidunt,true
37,Brina,Lamprey,American Indian and Alaska Native (AIAN),Female,12/16/1946,3,2,1,1/9/2018,true,450110,5,4,2,Displaced fracture of lateral condyle of unspecified femur,2,false,25,4,false,2,36,45,75,84795,61,nulla sed vel enim sit amet nunc viverra dapibus nulla suscipit ligula in lacus curabitur at ipsum,false,9,1,true,4,24,76,117,89750,57,congue elementum in hac habitasse platea dictumst morbi vestibulum velit id pretium iaculis diam erat fermentum justo nec condimentum,false
38,Rad,Milborn,Venezuelan,Male,11/22/2000,1,2,3,11/18/2018,true,213837,2,2,9,Encounter for hearing conservation and treatment,2,true,16,3,true,1,4,96,93,67723,68,sagittis dui vel nisl duis ac nibh fusce lacus purus aliquet at feugiat non pretium,false,11,1,true,3,4,17,68,47036,6,non lectus aliquam sit amet diam in magna bibendum imperdiet nullam orci pede venenatis non sodales,true
39,Sharl,Sirrell,Colville,Female,2/17/1970,3,3,3,1/1/2020,false,155410,3,2,6,"Disp fx of epiphy (separation) (upper) of unsp femr, 7thJ",2,true,25,1,true,3,40,70,56,63957,4,sit amet cursus id turpis integer aliquet massa id lobortis,true,16,1,false,6,17,21,3,10768,93,enim in tempor turpis nec euismod scelerisque quam turpis adipiscing,false
40,Isabel,Robshaw,Apache,Female,6/22/1945,2,1,3,12/25/2019,true,63777,3,1,1,Torus fracture of upper end of humerus,2,false,5,3,true,6,109,12,117,72357,25,nec euismod scelerisque quam turpis adipiscing lorem vitae mattis nibh ligula nec sem duis aliquam,false,15,3,true,7,114,10,21,66839,32,proin leo odio porttitor id consequat in consequat ut nulla sed accumsan felis ut at dolor quis odio,false
41,Tonye,Bulcock,Korean,Female,5/19/1968,1,1,3,4/20/2020,true,472084,3,1,0,"Chronic giant papillary conjunctivitis, right eye",3,true,29,3,false,1,29,20,35,87201,84,mattis egestas metus aenean fermentum donec ut mauris eget massa tempor convallis nulla neque libero convallis eget,true,14,1,false,3,96,110,44,78556,14,mattis pulvinar nulla pede ullamcorper augue a suscipit nulla elit ac nulla sed vel enim sit amet,false
42,Malena,McKilroe,Paraguayan,Female,2/5/1997,1,1,2,3/15/2019,true,494353,5,2,7,"Unspecified open wound of left ear, initial encounter",1,true,14,3,true,2,118,11,67,72409,17,nibh in lectus pellentesque at nulla suspendisse potenti cras in purus eu magna,true,10,1,false,5,49,39,60,94344,18,donec odio justo sollicitudin ut suscipit a feugiat et eros vestibulum ac est lacinia nisi venenatis tristique,true
43,Cesar,Layland,Argentinian,Male,8/13/1995,2,1,1,2/4/2018,false,86125,5,4,10,Peripartum cardiomyopathy,2,false,9,4,true,1,109,72,87,74784,87,nunc donec quis orci eget orci vehicula condimentum curabitur in libero ut massa volutpat convallis morbi odio,false,4,3,true,1,44,120,9,47192,31,tellus nisi eu orci mauris lacinia sapien quis libero nullam,false
44,Cristiano,Packer,Paraguayan,Male,6/25/1963,3,2,1,3/3/2020,true,161337,3,3,4,"Disp fx of trapezoid, left wrist, subs for fx w nonunion",5,true,17,3,false,3,51,46,28,47912,28,volutpat eleifend donec ut dolor morbi vel lectus in quam fringilla rhoncus mauris enim leo rhoncus sed vestibulum sit amet,true,3,4,false,8,15,31,79,89691,69,tincidunt lacus at velit vivamus vel nulla eget eros elementum pellentesque quisque porta volutpat erat quisque erat,true
45,Hy,Kendal,Sri Lankan,Male,4/7/1972,1,3,2,7/30/2019,true,46804,2,4,2,Retained (old) magnetic fb in posterior wall of globe,1,false,19,3,true,1,4,15,50,19439,27,ligula suspendisse ornare consequat lectus in est risus auctor sed tristique in,true,30,4,true,1,11,89,74,97124,25,vestibulum velit id pretium iaculis diam erat fermentum justo nec condimentum neque,false
46,Annis,Beddo,Paraguayan,Female,6/3/1992,3,1,2,7/16/2019,false,351300,5,1,1,"Food in respiratory tract, part unspecified",5,true,6,3,false,1,3,24,62,7737,53,congue etiam justo etiam pretium iaculis justo in hac habitasse,false,27,2,false,1,89,31,6,82773,4,pellentesque viverra pede ac diam cras pellentesque volutpat dui maecenas tristique est et tempus semper est,true
47,Brandi,Delacour,Uruguayan,Female,4/5/1940,1,2,2,10/26/2019,false,196719,1,3,4,"Poisoning by MAO inhib antidepressants, self-harm, init",3,true,22,2,true,7,70,66,57,96997,25,luctus et ultrices posuere cubilia curae donec pharetra magna vestibulum aliquet ultrices erat tortor sollicitudin mi sit,true,13,1,true,7,91,62,10,33032,37,interdum eu tincidunt in leo maecenas pulvinar lobortis est phasellus,true
48,Robbi,Bennough,Peruvian,Female,1/28/1955,1,1,2,4/27/2020,false,303692,3,4,9,"Corrosions of right ear drum, initial encounter",1,false,28,2,true,3,98,40,72,80060,53,at nulla suspendisse potenti cras in purus eu magna vulputate luctus cum sociis natoque penatibus et magnis,true,16,3,true,4,33,95,19,46641,1,platea dictumst etiam faucibus cursus urna ut tellus nulla ut erat id mauris vulputate elementum nullam varius,false
49,Nicol,Etches,Puget Sound Salish,Male,12/29/1973,1,1,3,3/29/2020,false,97895,4,3,10,"Unsp intracap fx unsp femr, 7thR",5,true,12,4,false,1,51,86,45,18075,64,id nisl venenatis lacinia aenean sit amet justo morbi ut odio,true,17,3,true,5,65,68,64,65103,90,vivamus metus arcu adipiscing molestie hendrerit at vulputate vitae nisl aenean lectus pellentesque eget,false
50,Sonny,Townshend,Korean,Male,11/7/1995,1,3,2,7/4/2019,false,228429,2,3,2,"Spond in diseases classd elswhr, sacr/sacrocygl region",5,false,15,2,true,8,109,35,86,23829,24,odio cras mi pede malesuada in imperdiet et commodo vulputate justo in blandit ultrices enim lorem ipsum dolor,false,12,1,true,8,111,62,107,76818,74,metus vitae ipsum aliquam non mauris morbi non lectus aliquam sit amet diam in magna bibendum imperdiet nullam orci,true
51,Ingar,Clucas,Eskimo,Male,4/15/1997,1,3,3,2/13/2019,true,421390,4,2,5,"Inflammation (infection) of postprocedural bleb, stage 3",2,true,8,3,false,5,51,23,23,50598,68,nunc nisl duis bibendum felis sed interdum venenatis turpis enim blandit mi,true,19,1,true,4,68,91,76,61894,46,interdum venenatis turpis enim blandit mi in porttitor pede justo eu massa donec dapibus duis,false
52,Brock,McCrory,Ottawa,Male,2/26/1964,2,2,2,2/18/2019,true,394170,1,2,4,"Calcific tendinitis, left forearm",4,false,1,3,false,1,46,81,34,29340,62,elementum in hac habitasse platea dictumst morbi vestibulum velit id pretium iaculis diam erat fermentum justo,true,21,1,true,6,50,55,47,22644,13,ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae mauris viverra diam vitae quam,true
53,Benoit,Heymes,Central American,Male,6/7/1973,3,2,3,9/20/2018,true,174543,4,3,5,"Calcium deposit in bursa, unspecified hip",2,true,5,4,true,1,96,118,70,42727,42,leo maecenas pulvinar lobortis est phasellus sit amet erat nulla tempus vivamus,true,13,3,true,5,94,63,72,58170,1,rutrum neque aenean auctor gravida sem praesent id massa id nisl venenatis lacinia aenean sit amet justo morbi ut odio,false
54,Bendick,Saurin,Ute,Male,12/16/1945,3,2,1,10/11/2019,true,365156,1,3,5,Inhalant abuse with inhalant-induced anxiety disorder,2,true,18,3,true,3,102,76,0,74852,18,odio justo sollicitudin ut suscipit a feugiat et eros vestibulum ac est lacinia nisi venenatis tristique fusce congue,false,31,4,false,4,56,113,70,6835,48,tellus in sagittis dui vel nisl duis ac nibh fusce lacus purus,false
55,Jasun,Seymer,Peruvian,Male,12/9/1963,1,2,3,4/25/2019,false,47856,3,2,5,"Displaced fracture of coracoid process, right shoulder",4,true,22,4,false,8,42,55,104,67248,73,erat eros viverra eget congue eget semper rutrum nulla nunc purus phasellus in felis donec semper sapien a,false,7,1,false,6,116,59,36,78624,57,tortor sollicitudin mi sit amet lobortis sapien sapien non mi integer ac neque duis,true
56,Tadeas,Stainbridge,Samoan,Male,2/8/1987,1,1,2,6/17/2018,false,223208,5,2,5,Vitreoretinal dystrophy,5,false,27,3,true,7,23,103,67,51232,24,imperdiet sapien urna pretium nisl ut volutpat sapien arcu sed augue aliquam erat volutpat in congue,false,2,3,false,8,56,30,86,78009,47,nisl duis ac nibh fusce lacus purus aliquet at feugiat non pretium,false
57,Jeri,Weatherall,American Indian and Alaska Native (AIAN),Female,7/5/1977,3,3,1,6/27/2018,false,71747,5,3,10,"Pnctr w/o fb of left thumb w/o damage to nail, subs",2,false,28,3,false,8,86,91,37,53973,36,aliquet maecenas leo odio condimentum id luctus nec molestie sed justo pellentesque viverra pede,true,11,1,false,6,22,66,92,57357,93,porttitor lorem id ligula suspendisse ornare consequat lectus in est risus auctor sed,true
58,Christiana,Gwalter,Lumbee,Female,1/7/1975,2,1,2,5/1/2020,true,109485,5,3,9,Subluxation stenosis of neural canal of lower extremity,3,false,10,2,true,7,23,35,92,26540,68,in tempus sit amet sem fusce consequat nulla nisl nunc nisl duis bibendum felis sed interdum venenatis,true,24,4,false,6,93,17,44,14341,44,duis ac nibh fusce lacus purus aliquet at feugiat non pretium quis lectus suspendisse potenti in eleifend quam a odio,true
59,Trace,McTrusty,Latin American Indian,Male,10/16/1950,3,3,2,1/2/2020,false,224434,4,1,3,"Corrosion of third degree of right knee, sequela",1,false,10,3,true,5,46,9,83,25645,74,aliquet pulvinar sed nisl nunc rhoncus dui vel sem sed sagittis nam congue risus semper,false,17,4,false,8,24,109,42,12346,19,dolor sit amet consectetuer adipiscing elit proin risus praesent lectus vestibulum quam sapien varius ut,false
60,Sal,Clatworthy,Eskimo,Female,2/1/1959,2,2,2,10/8/2019,true,481197,3,1,7,Thrombosis due to cardiac prosth dev/grft,3,false,30,3,true,2,33,118,1,67753,35,pede venenatis non sodales sed tincidunt eu felis fusce posuere felis sed lacus morbi,true,31,1,true,3,5,110,99,64844,60,convallis nulla neque libero convallis eget eleifend luctus ultricies eu nibh quisque id,true
61,Thornton,Landeaux,Salvadoran,Male,4/6/1979,1,2,3,8/29/2019,true,22802,2,1,7,"Oth injury of anterior tibial artery, unspecified leg",4,false,6,1,true,8,74,57,38,75524,79,nullam varius nulla facilisi cras non velit nec nisi vulputate nonummy maecenas tincidunt lacus at velit vivamus,false,20,2,true,3,41,61,32,72335,78,vestibulum ac est lacinia nisi venenatis tristique fusce congue diam id,true
62,Antoni,Esson,Asian Indian,Male,1/10/1946,3,3,1,5/8/2018,true,322160,4,3,1,Gastric contents in esophagus causing other injury,2,true,2,2,true,5,16,11,48,57040,47,interdum in ante vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae duis faucibus accumsan odio,true,2,3,true,7,95,31,18,8608,43,diam erat fermentum justo nec condimentum neque sapien placerat ante nulla justo,true
63,Paco,Mesant,Fijian,Male,7/23/1997,1,3,2,1/24/2020,true,218930,1,3,6,Occup of pk-up/van injured in collision w pedl cyc nontraf,2,false,1,1,false,5,31,90,12,88881,44,congue vivamus metus arcu adipiscing molestie hendrerit at vulputate vitae,true,6,1,true,6,84,101,80,3499,52,nisl duis bibendum felis sed interdum venenatis turpis enim blandit mi,true
